Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,Singkatan Umum/Resmi,Email
Universitas Diponegoro,Manajemen Sumberdaya Perairan,S2,PTN,3731/SK/BAN-PT/Ak.KP/M/IV/2024,2024,UNDIP,s2manajemensumberdayaperairan@UNDIP.ac.id
Universitas Gadjah Mada,Manajemen Sumberdaya Akuatik,S1,PTN,6600/SK/BAN-PT/Ak.KP/S/V/2025,2025,UGM,s1manajemensumberdayaakuatik@UGM.ac.id
Universitas Halmahera,Manajemen Sumberdaya Perairan,S1,12,3121/SK/BAN-PT/Ak/S/VIII/2023,2023,UNIERA,s1manajemensumberdayaperairan@UNIERA.ac.id
Universitas Hasanuddin,Pengelolaan Sumberdaya Pesisir Terpadu,S2,PTN,1546/SK/BAN-PT/Akred/M/III/2022,2022,UNHAS,s2pengelolaansumberdayapesisirterpadu@UNHAS.ac.id
Universitas HKBP Nommensen Pematangsiantar,Manajemen Pengelolaan Sumberdaya Perairan,S1,1,3466/SK/BAN-PT/Akred/S/VI/2022,2022,UHN Pematangsiantar,s1manajemenpengelolaansumberdayaperairan@UHNPematangsiantar.ac.id
Universitas Jambi,Pemanfaatan Sumberdaya Perikanan,S1,PTN,7845/SK/BAN-PT/Ak/S/X/2025,2025,UNJA,s1pemanfaatansumberdayaperikanan@UNJA.ac.id
Universitas Jember,Pengelolaan Sumberdaya Air Pertanian,S2,PTN,9676/SK/BAN-PT/Ak/M/XI/2022,2022,UNEJ,s2pengelolaansumberdayaairpertanian@UNEJ.ac.id
Universitas Khairun,Pemanfaatan Sumberdaya Perikanan,S1,PTN,8716/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,UNKHAIR,s1pemanfaatansumberdayaperikanan@UNKHAIR.ac.id
Universitas Lambung Mangkurat,Pengelolaan Sumberdaya Alam & Lingkungan,S2,PTN,2835/SK/BAN-PT/Akred/M/V/2021,2021,ULM,s2pengelolaansumberdayaalamlingkungan@ULM.ac.id
Universitas Lampung,Sumberdaya Akuatik,S1,PTN,6544/SK/BAN-PT/Ak.KP/S/V/2025,2025,UNILA,s1sumberdayaakuatik@UNILA.ac.id
Universitas Mataram,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,PTN,6757/SK/BAN-PT/Ak.P/M/VI/2025,2025,UNRAM,s2pengelolaansumberdayaalamdanlingkungan@UNRAM.ac.id
Universitas Muhammadiyah Kendari,Pemanfaatan Sumberdaya Perikanan,S1,9,9027/SK/BAN-PT/Ak-PPJ/S/VI/2021,2021,UMKENDARI,s1pemanfaatansumberdayaperikanan@UMKENDARI.ac.id
Universitas Mulawarman,Pengelolaan Sumberdaya Perikanan,S1,PTN,621/SK/BAN-PT/Ak.Ppj/S/II/2024,2024,UNMUL,s1pengelolaansumberdayaperikanan@UNMUL.ac.id
Universitas Musamus Merauke,Manajemen Sumberdaya Perairan,S1,PTN,371/SK/BAN-PT/Ak/S/II/2024,2024,UNMUS,s1manajemensumberdayaperairan@UNMUS.ac.id
Universitas Nusa Nipa,Manajemen Sumberdaya Perairan,S1,15,1467/SK/BAN-PT/Akred/S/III/2021,2021,UNIPA,s1manajemensumberdayaperairan@UNIPA.ac.id
Universitas Palangka Raya,Pengelolaan Sumberdaya Alam & Lingkungan,S2,PTN,3893/SK/BAN-PT/Ak.Ppj/M/IX/2023,2023,UPR,s2pengelolaansumberdayaalamlingkungan@UPR.ac.id
Universitas Panca Bhakti,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,11,6125/SK/BAN-PT/Ak.P/M/X/2024,2024,UPB,s2pengelolaansumberdayaalamdanlingkungan@UPB.ac.id
Universitas Papua,Konservasi Sumberdaya Hutan,D3,PTN,11199/SK/BAN-PT/Akred/Dipl-III/IX/2021,2021,UNIPA,d3konservasisumberdayahutan@UNIPA.ac.id
Universitas Pattimura,Manajemen Sumberdaya Kelautan Dan Pulau-pulau Kecil,S2,PTN,1170/SK/BAN-PT/Ak.Ppj/M/IV/2024,2024,UNPATTI,s2manajemensumberdayakelautandanpulaupulaukecil@UNPATTI.ac.id
Universitas Sam Ratulangi,Pengelolaan Sumberdaya Pembangunan,S2,PTN,6580/SK/BAN-PT/Ak.S/M/V/2025,2025,UNSRAT,s2pengelolaansumberdayapembangunan@UNSRAT.ac.id
Universitas Serambi Mekkah,Pengelolaan Sumberdaya Alam Dan Lingkungan,S2,13,45/SK/BAN-PT/Ak.P/M/I/2025,2025,USM,s2pengelolaansumberdayaalamdanlingkungan@USM.ac.id
Universitas Sumatera Utara,Manajemen Sumberdaya Perairan Kampus Kabupaten Nias Utara,S1,PTN,4553/SK/BAN-PT/Ak/S/VI/2024,2024,USU,s1manajemensumberdayaperairankampuskabupatenniasutara@USU.ac.id
Universitas Syiah Kuala,Pemanfaatan Sumberdaya Perikanan,S1,PTN,354/SK/BAN-PT/Ak.Ppj/S/III/2025,2025,USK,s1pemanfaatansumberdayaperikanan@USK.ac.id
Universitas Syiah Kuala,Pengelolaan Sumberdaya Pesisir Terpadu,S2,PTN,7571/SK/BAN-PT/Ak.S/M/IX/2025,2025,USK,s2pengelolaansumberdayapesisirterpadu@USK.ac.id
Universitas Tadulako,Konservasi Sumberdaya Hutan,D3,PTN,10245/SK/BAN-PT/Ak.KP/D3/XII/2022,2022,UNTAD,d3konservasisumberdayahutan@UNTAD.ac.id
Universitas Tanjungpura,Manajemen Sumberdaya Perairan,S1,PTN,6526/SK/BAN-PT/Ak.KP/S/V/2025,2025,UNTAN,s1manajemensumberdayaperairan@UNTAN.ac.id
Universitas Trunojoyo,Manajemen Sumberdaya Perairan,S1,PTN,2407/SK/BAN-PT/Ak/S/VI/2023,2023,UTM,s1manajemensumberdayaperairan@UTM.ac.id
Universitas Udayana,Manajemen Sumberdaya Perairan,S1,PTN,10173/SK/BAN-PT/Ak/S/XII/2022,2022,UNUD,s1manajemensumberdayaperairan@UNUD.ac.id
Universitas Al-azhar Indonesia,Pengelolaan Sumber Daya Alam,S2,3,7772/SK/BAN-PT/Ak.P/M/X/2025,2025,UAI,s2pengelolaansumberdayaalam@UAI.ac.id
Universitas Andalas,Pengelolaan Sumber Daya Alam,S2,PTN,6579/SK/BAN-PT/Ak.S/M/V/2025,2025,UNAND,s2pengelolaansumberdayaalam@UNAND.ac.id
Universitas Bengkulu,Pengelolaan Sumber Daya Alam,S3,PTN,8267/SK/BAN-PT/Ak/D/XI/2025,2025,UNIB,s3pengelolaansumberdayaalam@UNIB.ac.id
Universitas Bengkulu,Pengelolaan Sumber Daya Alam,S2,PTN,2405/SK/BAN-PT/Akred/M/IV/2021,2021,UNIB,s2pengelolaansumberdayaalam@UNIB.ac.id
Universitas Muhammadiyah Bangka Belitung,Konservasi Sumber Daya Alam,S1,2,4219/SK/BAN-PT/Ak/S/X/2023,2023,UMBB,s1konservasisumberdayaalam@UMBB.ac.id
Universitas Sumatera Utara,Pengelolaan Sumber Daya Alam Dan Lingkungan,S2,PTN,4650/SK/BAN-PT/Ak/M/VI/2024,2024,USU,s2pengelolaansumberdayaalamdanlingkungan@USU.ac.id
Universitas Sumatera Utara,Pengelolaan Sumber Daya Alam Dan Lingkungan,S3,PTN,2419/SK/BAN-PT/Akred/D/IV/2021,2021,USU,s3pengelolaansumberdayaalamdanlingkungan@USU.ac.id
Universitas Syiah Kuala,Pengelolaan Sumber Daya Alam,S2,PTN,6373/SK/BAN-PT/Ak.S/M/V/2025,2025,USK,s2pengelolaansumberdayaalam@USK.ac.id
Universitas Teknologi Sumbawa,Konservasi Sumber Daya Alam,S1,8,175/SK/BAN-PT/Ak.P/S/II/2025,2025,UTS,s1konservasisumberdayaalam@UTS.ac.id
Universitas Trunojoyo,Pengelolaan Sumber Daya Alam,S3,PTN,006/SK/BAN-PT/Ak.P/2.0/S3/X/2025,2025,UTM,s3pengelolaansumberdayaalam@UTM.ac.id
Universitas Trunojoyo,Pengelolaan Sumber Daya Alam,S2,PTN,5223/SK/BAN-PT/Ak/M/VIII/2024,2024,UTM,s2pengelolaansumberdayaalam@UTM.ac.id
Politeknik Pertanian Negeri Samarinda,Pengelolaan Lingkungan,D3,PTN,13352/SK/BAN-PT/Akred/Dipl-III/XII/2021,2021,POLITANI Samarinda,d3pengelolaanlingkungan@POLITANISamarinda.ac.id
Universitas Hasanuddin,Pengelolaan Lingkungan Hidup,S2,PTN,4127/SK/BAN-PT/Ak.Ppj/M/V/2024,2024,UNHAS,s2pengelolaanlingkunganhidup@UNHAS.ac.id
Universitas Syiah Kuala,Pengelolaan Lingkungan,S2,PTN,7896/SK/BAN-PT/Ak.S/M/X/2025,2025,USK,s2pengelolaanlingkungan@USK.ac.id
Universitas Sriwijaya,Pengelolaan Lingkungan,S2,PTN,8707/SK/BAN-PT/Akred/M/VI/2021,2021,UNSRI,s2pengelolaanlingkungan@UNSRI.ac.id
