Universitas,Program Studi,Jenjang,Tipe,Nomor SK,Tahun,email,Peringkat_Akreditasi,Tanggal_Kadaluarsa,Status_Kadaluarsa
Universitas HKBP Nommensen Pematangsiantar,Manajemen Pengelolaan Sumberdaya Perairan,S1,1,3466/SK/BAN-PT/Akred/S/VI/2022,2022,info@uhnpematangsiantar.ac.id,Baik,2027-06-07,Masih Berlaku
Universitas Musamus Merauke,Manajemen Sumberdaya Perairan,S1,PTN,371/SK/BAN-PT/Ak/S/II/2024,2024,msp@unmus.ac.id,Baik Sekali,2029-02-13,Masih Berlaku
Universitas Sumatera Utara,Manajemen Sumberdaya Perairan Kampus Kabupaten Nias Utara,S1,PTN,4553/SK/BAN-PT/Ak/S/VI/2024,2024,msp@usu.ac.id,Baik,2029-06-04,Masih Berlaku
Universitas Tanjungpura,Manajemen Sumberdaya Perairan,S1,PTN,6526/SK/BAN-PT/Ak.KP/S/V/2025,2025,msp.fpik@untan.ac.id,Baik Sekali,2029-03-13,Masih Berlaku
Universitas Trunojoyo,Manajemen Sumberdaya Perairan,S1,PTN,2407/SK/BAN-PT/Ak/S/VI/2023,2023,msp@trunojoyo.ac.id,Baik Sekali,2028-06-20,Masih Berlaku
Universitas Udayana,Manajemen Sumberdaya Perairan,S1,PTN,10173/SK/BAN-PT/Ak/S/XII/2022,2022,msp.fpik@unud.ac.id,Baik Sekali,2027-12-06,Masih Berlaku
Universitas Gadjah Mada,Geografi Lingkungan,S1,PTN,038/SK/LAMSAMA/Akred/S/V/2024,2024,info@universitasgadjahmada.ac.id,Unggul,2029-05-26,Masih Berlaku
Universitas Negeri Padang,Kajian Lingkungan dan Pembangunan,S3,PTN,7570/SK/BAN-PT/Ak.S/D/IX/2025,2025,info@universitasnegeripadang.ac.id,B,,Masih Berlaku
Universitas Negeri Gorontalo,Kependudukan dan Lingkungan Hidup,S2,PTN,9544/SK/BAN-PT/Ak-PPJ/M/XI/2022,2022,info@universitasnegerigoronta.ac.id,B,2026-10-07,127 hari lagi kadaluarsa
Universitas Muhammadiyah Gorontalo,Manajemen Sumber Daya Hayati,S2,16,274/DE/A.5/AR.11/III/2024,2024,info@universitasmuhammadiyahg.ac.id,Baik,2029-03-21,Masih Berlaku
Universitas Maritim Raja Ali Haji (UMRAH),Manajemen Sumberdaya Perairan,S1,PTN,9620/SK/BAN-PT/Ak-PPJ/S/VII/2021,2021,info@universitasmaritimrajaal.ac.id,B,2026-07-22,50 hari lagi kadaluarsa
Universitas Nusa Cendana,Manajemen Sumberdaya Perairan,S1,PTN,8772/SK/BAN-PT/Ak/S/XII/2025,2025,info@universitasnusacendana.ac.id,Baik Sekali,2030-12-18,Masih Berlaku
Universitas Negeri Makassar,Pendidikan Kependudukan dan Lingkungan Hidup,S3,PTN,1313/SK/BAN-PT/AK-ISK/D/III/2022,2022,info@universitasnegerimakassa.ac.id,Baik Sekali,2026-10-21,141 hari lagi kadaluarsa
Universitas Atma Jaya Yogyakarta,Pendidikan Profesi Arsitek,Profesi,05,5801/SK/BAN-PT/Ak.P/PP/IX/2024,2024,info@universitasatmajayayogya.ac.id,Terakreditasi Sementara,2029-09-03,Masih Berlaku
Universitas Bina Nusantara,Pendidikan Profesi Arsitek,Profesi,03,7130/SK/BAN-PT/Ak.P/Profesi/VIII/2025,2025,info@universitasbinanusantara.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Universitas Brawijaya,Pendidikan Profesi Arsitek,Profesi,PTN,214/SK/BAN-PT/Ak.P/PP/II/2025,2025,info@universitasbrawijaya.ac.id,Baik,2030-02-11,Masih Berlaku
Universitas Diponegoro,Pendidikan Profesi Arsitek,Profesi,PTN,7140/SK/BAN-PT/Ak.P/Profesi/VIII/2025,2025,info@universitasdiponegoro.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Universitas Gadjah Mada,Pendidikan Profesi Arsitek,Profesi,PTN,392/SK/BAN-PT/PEPA-Ppj/PP/II/2024,2024,info@universitasgadjahmada.ac.id,Baik Sekali,2029-02-01,Masih Berlaku
Universitas Hasanuddin,Pendidikan Profesi Arsitek,Profesi,PTN,7256/SK/BAN-PT/Ak.P/PP/VIII/2025,2025,info@universitashasanuddin.ac.id,Baik,2030-08-06,Masih Berlaku
Universitas Islam Negeri Alauddin Makassar,Pendidikan Profesi Arsitek,Profesi,PTAN,160/SK/BAN-PT/Ak.P/2.0/Profesi/III/2026,2026,info@universitasislamnegerial.ac.id,Terakreditasi Pertama,2028-03-31,Masih Berlaku
Universitas Katolik Parahyangan,Pendidikan Profesi Arsitek,Profesi,04,4604/SK/BAN-PT/Ak.P/PP/VI/2024,2024,info@universitaskatolikparahy.ac.id,Terakreditasi Sementara,2029-06-06,Masih Berlaku
Universitas Mercu Buana,Pendidikan Profesi Arsitek,Profesi,03,2407/SK/BAN-PT/Ak.P/Profesi/V/2025,2025,info@universitasmercubuana.ac.id,Terakreditasi Sementara,2030-05-14,Masih Berlaku
Universitas Muhammadiyah Surakarta,Pendidikan Profesi Arsitek,Profesi,06,066/SK/BAN-PT/Ak.P/2.0/Profesi/I/2026,2026,info@universitasmuhammadiyahs.ac.id,Terakreditasi Pertama,2028-01-26,Masih Berlaku
Universitas Multimedia Nusantara Jakarta,Pendidikan Profesi Arsitek,Profesi,03,8079/SK/BAN-PT/Ak.P/PP/X/2025,2025,info@universitasmultimedianus.ac.id,Baik,2030-10-22,Masih Berlaku
Universitas Pancasila,Pendidikan Profesi Arsitek,Profesi,03,227/SK/BAN-PT/Ak.P/2.0/Profesi/V/2026,2026,info@universitaspancasila.ac.id,Terakreditasi Pertama,2028-05-25,Masih Berlaku
Universitas Pembangunan Jaya,Pendidikan Profesi Arsitek,Profesi,04,159/SK/BAN-PT/Ak.P/2.0/Profesi/III/2026,2026,info@universitaspembangunanja.ac.id,Terakreditasi Pertama,2028-03-31,Masih Berlaku
Universitas Tanjungpura,Pendidikan Profesi Arsitek,Profesi,PTN,7118/SK/BAN-PT/Ak.P/Profesi/VIII/2025,2025,info@universitastanjungpura.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Universitas Tarumanagara,Pendidikan Profesi Arsitek,Profesi,03,032/SK/BAN-PT/Ak.P/2.0/Profesi/X/2025,2025,info@universitastarumanagara.ac.id,Terakreditasi Sementara,2030-10-21,Masih Berlaku
Universitas Udayana,Pendidikan Profesi Arsitek,Profesi,PTN,4634/SK/BAN-PT/Ak.P/PP/VI/2024,2024,info@universitasudayana.ac.id,Terakreditasi Sementara,2029-06-11,Masih Berlaku
Universitas Warmadewa,Pendidikan Profesi Arsitek,Profesi,08,2400/SK/BAN-PT/Ak.P/Profesi/IV/2025,2025,info@universitaswarmadewa.ac.id,Terakreditasi Sementara,2030-04-14,Masih Berlaku
Universitas Amal Ilmiah Yapis Wamena,Pengelolaan Sumber Daya Lahan,S1,14,7101/SK/BAN-PT/Ak/S/X/2022,2022,info@universitasamalilmiahyap.ac.id,Baik,2027-10-11,Masih Berlaku
Universitas Pertamina,Sains Keberlanjutan,S2,03,7139/SK/BAN-PT/Ak.P/S2/VIII/2025,2025,info@universitaspertamina.ac.id,Terakreditasi Sementara,2030-08-25,Masih Berlaku
Institut Teknologi Bandung,Teknik dan Pengelolaan Sumber Daya Air,S1,PTN,13518/SK/BAN-PT/Akred/S/XII/2021,2021,info@institutteknologibandung.ac.id,Unggul,2026-12-22,Masih Berlaku
Universitas Andalas,Pembangunan Wilayah dan Pedesaan,S2,,,2026,humas@unand.ac.id,A,2026-10-06,Masih Berlaku
Universitas Insan Cendekia Mandiri,Pertamanan,S1,,,2026,,Baik,2031-01-13,Masih Berlaku
Institut Teknologi Sumatera,Sains Lingkungan Kelautan,S1,,,2021,humas@itera.ac.id,Baik,2026-12-15,Masih Berlaku
Universitas Gadjah Mada,Pembangunan Wilayah,S1,,,2024,info@ugm.ac.id,Unggul,2029-10-01,Masih Berlaku
Universitas Terbuka,Studi Lingkungan,S2,,,2026,hallo-ut@ut.ac.id,B,2031-01-28,Masih Berlaku
Universitas Pgri Sumatera Barat,Studi Lingkungan,S2,,,2025,,Baik,2027-03-25,Masih Berlaku
Universitas Sultan Ageng Tirtayasa,Studi Lingkungan,S2,,,2026,,Baik,2026-11-29,Masih Berlaku
Universitas Lampung,Manajemen Sumber Daya Alam,S2,,,,humas@kpa.unila.ac.id,,,Tidak Ada Data
Institut Pertanian Bogor,Teknik dan Manajemen Lingkungan,D-IV,,,2025,humas@apps.ipb.ac.id,Unggul,2030-08-20,Masih Berlaku
Universitas Annuqayah,Sains Lingkungan,S1,,,,,,,Tidak Ada Data
Universitas Negeri Makassar,Sains Lingkungan,S1,,,,humas@unm.ac.id,,,Tidak Ada Data
Universitas Pgri Kalimantan,Sains Lingkungan,S1,,,2025,,Terakreditasi Sementara,2030-09-17,Masih Berlaku
Universitas Pgri Palembang,Sains Lingkungan,S1,,,2024,,Baik,2029-03-19,Masih Berlaku
Universitas Nahdlatul Ulama Purwokerto,Sains Lingkungan,S1,,,,,,,Tidak Ada Data
Politeknik Negeri Jakarta,Teknologi Rekayasa Cetak dan Grafis 3 Dimensi,D-IV,,,2025,humas@pnj.ac.id,Terakreditasi Unggul,2028-12-20,Masih Berlaku
Politeknik Negeri Jakarta,Teknologi Industri Cetak Kemasan,D-IV,,,2023,humas@pnj.ac.id,Unggul,2028-04-20,Masih Berlaku
Universitas Sahid,Manajemen Lingkungan,S2,,,2024,,Baik,2029-03-04,Masih Berlaku
Universitas Pakuan,Manajemen Lingkungan,S2,,,2023,info@unpak.ac.id,Baik Sekali,2027-12-31,Masih Berlaku
Universitas Pendidikan Ganesha,Manajemen Lingkungan,S2,,,2024,humas@undiksha.ac.id,Baik Sekali,2029-07-05,Masih Berlaku
Universitas Negeri Jakarta,Manajemen Lingkungan,S2,,,2023,humas@unj.ac.id,Unggul,2028-08-31,Masih Berlaku
Universitas Indonesia,Profesi Arsitek,Profesi,,,2026,humas-ui@ui.ac.id,Baik,2031-04-21,Masih Berlaku
Universitas Islam Indonesia,Profesi Arsitek,Profesi,,,2026,info@uii.ac.id,Baik Sekali,2031-03-17,Masih Berlaku
Universitas Sebelas Maret,Profesi Arsitek,Profesi,,,2025,humas@mail.uns.ac.id,Terakreditasi Sementara,2030-03-25,Masih Berlaku
Universitas Syiah Kuala,Profesi Arsitek,Profesi,,,2024,humas@usk.ac.id,Terakreditasi Sementara,2029-01-23,Masih Berlaku
Universitas Sumatera Utara,Profesi Arsitek,Profesi,,,2022,humas@usu.ac.id,B,2027-12-06,Masih Berlaku
Institut Teknologi Bandung,Profesi Arsitek,Profesi,,,2025,humas@itb.ac.id,Terakreditasi Sementara,2030-09-16,Masih Berlaku
Politeknik Tedc,Multimedia,D-I,,,,info@poltektedc.ac.id,,,Tidak Ada Data
Politeknik Elektronika Negeri Surabaya,Multimedia,D-I,,,,,,,Tidak Ada Data
Politeknik Bali Maha Werdhi,Multimedia,D-III,,,2026,info@politeknikbmw.ac.id,Baik,2026-08-31,Masih Berlaku
